job_title,org_name,salary_min,salary_max,director_flag,analyst_flag,scientist_flag,manager_flag,engineer_flag,url
Business Services Analyst,City of Tacoma,84073,118372,,1,,,,https://www.governmentjobs.com/careers/tacoma/jobs/newprint/4181673
Director of Analysis and Evaluation,Small Business Administration,155700,183500,1,,,,,https://www.usajobs.gov/job/753679800
Research and Data Manager,City of Philadephia,75000,80000,,,,1,,https://www.smartrecruiters.com/CityofPhiladelphia/743999936827299-research-and-data-manager
Data Analyst 3,NYS Office of General Services,100000,125000,,1,,,,https://www.linkedin.com/jobs/view/3737675359/
Data Scientist,Office of Personnel Management,98496,158432,,,1,,,https://www.usajobs.gov/job/754459000
Lead Management and Program Analyst,Department of the Treasury,149739,236357,,1,,,,https://www.usajobs.gov/job/755498300
Senior Data Scientist,NYC Department of Transportation,103026,133630,,,1,,,https://cityjobs.nyc.gov/job/senior-data-scientist-in-manhattan-jid-151122
Project Manager Analytics Specialist IV,City of Detroit,91873,120496,,1,,,,https://www.governmentjobs.com/jobs/newprint/4247392
CHIEF DATA ANALYST,State of Rhode Island,127942,144912,,1,,,,https://www.governmentjobs.com/jobs/newprint/4258656
Senior Manager for Data Services,City of Cambridge,121144,133010,,,,1,,https://phe.tbe.taleo.net/phe02/ats/careers/v2/viewRequisition?org=CAMBRIDGEMA&cws=37&rid=559
DIRECTOR OF SPECIAL PROJECTS REPORTING & ANALYTICS,NYC HRA DEPT OF SOCIAL SERVICES,103026,118480,1,,,,,https://cityjobs.nyc.gov/job/director-of-special-projects-reporting-and-analytics-in-manhattan-jid-16170
Program Director,State of Colorado,97000,120000,1,,,,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4261988
Data Engineer,State of Connecticut,120395,150906,,,,,1,https://www.jobapscloud.com/CT/sup/bulpreview.asp?b=&R1=231103&R2=7607FR&R3=100
Deputy Director of Data Technology,NYC Office of the Mayor,40000,175000,1,,,,,https://a002-oom03.nyc.gov/IRM/Handlers/Campaign/Attachments.ashx?attachmentId=edffe936-9f55-4000-83ff-fc352f94b601
Data Scientist,FEMA,78000,95000,,,1,,,https://www.linkedin.com/jobs/view/3760452003/
