,job_title,org_name,salary_min,salary_max,director_flag,analyst_flag,scientist_flag,manager_flag,engineer_flag,url,data_science,data_engineering,database_design,data_analysis,collaborate_stakeholders,data_quality,strong_communication,communication_skills,data_pipelines,unstructured_data,data_lake,data_model,data_scientist,data_requirements,team_management,data_manipulation,data_warehouse,machine_learning,sql,python,tableau,JobType
44,(DATA) Business Intelligence Manager,City of Philadephia,85000.0,95000.0,,,,1.0,,https://jobs.smartrecruiters.com/CityofPhiladelphia/743999796865537--data-business-intelligence-manager,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Manager
45,Data Scientist,Department of State,112015.0,145617.0,,,1.0,,,https://www.usajobs.gov/job/724980800,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,Data Scientist
46,Senior Analyst (Data Analysis),Government Accountability Office,105306.0,147726.0,,1.0,,,,https://www.usajobs.gov/job/725415500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Data Analyst
47,Product Manager (Data Products),City of Boston,77085.0,114228.0,,,,1.0,,https://city-boston.icims.com/jobs/25132/product-manager-%28data-products%29/job?hub=8&mobile=false&width=947&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manager
48,Manager Data Analytics,Metro Transit Authority,83981.0,110225.0,,,,1.0,,https://careers.mta.org/jobs/12248354-manager-data-analytics?tm_job=PS104080&amp;tm_event=view&amp;tm_company=47560&amp;bid=370,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Manager
49,Director of Research and Analytics,State of New York,151901.0,154927.0,1.0,,,,,https://statejobs.ny.gov/public/vacancyDetailsView.cfm?id=134992,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,Director
50,Director of Research and Data Analysis,Empire State Development,95000.0,100000.0,1.0,,,,,https://statejobsny.com/public/vacancyDetailsView.cfm?id=129051,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
51,Deputy Digital Director,Commonwealth of Pennsylvania,54181.0,82387.0,1.0,,,,,https://www.governmentjobs.com/careers/pabureau/jobs/newprint/3948036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
52,Lead Data Scientist Analyst,Montgomery County Government,158000.0,158000.0,,,1.0,,,https://www.linkedin.com/jobs/view/3665997894/?refId=GRAOAe95FoGIiBAzbloc9A%3D%3D&trackingId=GRAOAe95FoGIiBAzbloc9A%3D%3D,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,Data Scientist
53,Senior Data Scientist,Department of Health and Human Services,155700.0,183500.0,,,1.0,,,https://www.usajobs.gov/job/735621300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Data Scientist
54,Senior Director Data Science,Metro Transit Authority,103345.0,135640.0,1.0,,,,,https://careers.mta.org/jobs/12248037-senior-director-data-science-ocso?tm_job=PS99674&amp;tm_event=view&amp;tm_company=47560&amp;bid=370,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Director
55,Data Privacy and Security Specialist,State of Colorado,83136.0,104580.0,,1.0,,,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4075480,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
56,Data Analyst,General Services Administration,116393.0,183500.0,,1.0,,,,https://www.usajobs.gov/job/736887500,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,Data Analyst
57,Project Manager & Analytics Specialist III,City of Detroit,74896.0,93021.0,,1.0,,,,https://www.governmentjobs.com/jobs/newprint/4087827,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
58,Director of Data Services,Department of Labor,136908.0,183500.0,1.0,,,,,https://www.usajobs.gov/job/741336000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Director
59,Data Scientist,Department of Homeland Security,115400.0,196000.0,,,1.0,,,https://www.usajobs.gov/job/737482500,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,Data Scientist
60,Sr. IT Specialist (Business Analyst Researcher),Montgomery County Government,134000.0,134000.0,,1.0,,,,https://www.linkedin.com/jobs/view/3666003009/,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Data Analyst
61,Director of Agency Metrics,NYC Office of the Mayor,150000.0,210000.0,1.0,,,,,https://a002-oom03.nyc.gov/irm/Handlers/Campaign/Attachments.ashx?attachmentId=5b8ea079-c38e-4d2e-9a4a-85a90cceb94d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
62,Assistant Director of Data Systems,Commonwealth of Massachusetts,75000.0,117000.0,1.0,,,,,https://www.linkedin.com/jobs/view/3678235338/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
63,Product Data and Analytics Lead,New Jersey Office of Innovation,75000.0,100000.0,,1.0,,,,https://innovation.nj.gov/join/bizx-product-data-and-analytics-lead//,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
64,Director HR Data Science,Metro Transit Authority,117785.0,154593.0,1.0,,,,,https://careers.mta.org/jobs/12434721-director-hr-data-science?tm_job=664&amp;tm_event=view&amp;tm_company=47560&amp;bid=370,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,Director
65,Interdisciplinary Data Scientist (Advanced Analytics),Government Accountability Office,105306.0,147726.0,,,1.0,,,https://www.usajobs.gov/job/744768200,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,Data Scientist
66,Director of Data and Information Technology Management,NYS Department of Transportation,133000.0,169000.0,1.0,,,,,https://www.linkedin.com/jobs/view/3709836827/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
67,Manager of Performance Data and Technology,MBTA,77000.0,102000.0,,,,1.0,,https://www.linkedin.com/jobs/view/3706898745/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Manager
68,Deputy Director of Lean Analytics,MBTA,,,1.0,,,,,https://www.linkedin.com/jobs/view/3706308675/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
69,Data Strategy Senior Manager – Data Services,Commonwealth of Massachusetts,81000.0,126000.0,,,,1.0,,https://www.linkedin.com/jobs/view/3707222348/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manager
70,IT Senior Business Analyst,New York City Housing Development Corporation,110000.0,120000.0,,1.0,,,,https://www.linkedin.com/jobs/view/3691496645/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
71,Management and Program Analyst,U.S. Department of Commerce,,,,1.0,,,,https://www.linkedin.com/jobs/view/3706701353/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
72,Management and Program Analyst,Department of Education,132368.0,172075.0,,1.0,,,,https://www.usajobs.gov/job/745085800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
73,Data Scientist,Department of Commerce,78592.0,122459.0,,,1.0,,,https://www.usajobs.gov/job/7456315000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist
74,"Data Strategy Senior Manager, Data Services",Massachusetts Executive Office of Health and Human Services,,,,,,1.0,,https://www.linkedin.com/jobs/view/3708007602/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manager
75,Manager of Performance Data and Technology,MBTA,77000.0,102000.0,,,,1.0,,https://www.linkedin.com/jobs/view/3706898745/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Manager
76,"POLICY ADVISOR, DATA MANAGEMENT & ANALYSIS",HRA DEPT OF SOCIAL SERVICES,75504.0,83901.0,,1.0,,,,https://cityjobs.nyc.gov/job/policy-advisor-data-management-and-analysis-in-manhattan-jid-12068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
77,Director of Planning and Research,South Carolina Department of Children's Advocacy,54974.0,101712.0,1.0,,,,,https://www.governmentjobs.com/jobs/newprint/4178606,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
78,SENIOR DATA SCIENTIST,County of Los Angeles,115637.0,155836.0,,,1.0,,,https://www.governmentjobs.com/careers/lacounty/jobs/newprint/4146330,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,Data Scientist
79,"Manager, Report Development",Los Angeles Homeless Services Authority (LAHSA),84558.0,122610.0,,,,1.0,,https://www.governmentjobs.com/careers/lahsa/jobs/newprint/4181397,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Manager
